Entry	EC number	Protein families	Enzyme class
P63136	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
Q01459	3.2.1.-	Glycosyl hydrolase 18 family	Hydrolases
Q05D32	3.1.3.-	CTDSPL2 family	Hydrolases
Q15181	3.6.1.1	PPase family	Hydrolases
Q2L4Q9	3.4.21.-	Peptidase S1 family	Hydrolases
Q2M2H8	3.2.1.3	Glycosyl hydrolase 31 family	Hydrolases
Q2VIR3	3.6.5.3	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EIF2G subfamily	Hydrolases
Q3I5F7	3.1.2.-	C/M/P thioester hydrolase family	Hydrolases
Q4G0A6	3.4.19.12	MINDY deubiquitinase family, FAM188 subfamily	Hydrolases
Q4V339	3.6.5.-	SIMIBI class G3E GTPase family, ZNG1 subfamily	Hydrolases
Q5FYB0	3.1.6.-	Sulfatase family	Hydrolases
Q5HYM0	3.1.-.-	ZC3H12 family	Hydrolases
Q5RIA9	3.6.5.-	SIMIBI class G3E GTPase family, ZNG1 subfamily	Hydrolases
Q5SRI9	3.2.1.130	Glycosyl hydrolase 99 family	Hydrolases
Q5T6V5	3.2.2.-	QNG1 protein family	Hydrolases
Q5VV17	3.4.19.12		Hydrolases
Q5VXJ0	3.1.1.-	AB hydrolase superfamily, Lipase family	Hydrolases
Q5VYY2	3.1.1.-	AB hydrolase superfamily, Lipase family	Hydrolases
Q5XG92	3.1.1.-	Type-B carboxylesterase/lipase family	Hydrolases
Q63HM1	3.5.1.9	Kynurenine formamidase family	Hydrolases
Q6GMV3	3.1.1.29	PTH2 family, PTRHD1 subfamily	Hydrolases
Q6NT32	3.1.1.1	Type-B carboxylesterase/lipase family	Hydrolases
Q6T310	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q6W3E5	3.1.-.-	Glycerophosphoryl diester phosphodiesterase family	Hydrolases
Q6ZWK6	3.4.21.-	Peptidase S1 family	Hydrolases
Q7RTY5	3.4.21.-	Peptidase S1 family	Hydrolases
Q7RTY7	3.4.21.-	Peptidase S1 family	Hydrolases
Q7RTY8	3.4.21.-	Peptidase S1 family	Hydrolases
Q7RTY9	3.4.21.-	Peptidase S1 family	Hydrolases
Q7RTZ2	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
Q7Z444	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q7Z4H3	3.1.3.89	HDDC2 family	Hydrolases
Q7Z5A4	3.4.21.-	Peptidase S1 family	Hydrolases
Q7Z5M8	3.-.-.-	Serine esterase family	Hydrolases
Q7Z6Z6	3.1.1.3		Hydrolases
Q86SG7	3.2.1.-	Glycosyl hydrolase 23 family	Hydrolases
Q86UY8	3.1.3.-	5'(3')-deoxyribonucleotidase family	Hydrolases
Q86X76	3.5.1.128	Carbon-nitrogen hydrolase superfamily, NIT1/NIT2 family	Hydrolases
Q86Y79	3.1.1.29	PTH family	Hydrolases
Q8IX06	3.1.-.-	REXO1/REXO3 family	Hydrolases
Q8N442	3.6.5.-	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, LepA subfamily	Hydrolases
Q8N9H8	3.1.-.-	Mut-7 family	Hydrolases
Q8NBH2	3.4.-.-	Transglutaminase-like superfamily	Hydrolases
Q8NCT3	3.4.17.-		Hydrolases
Q8NF86	3.4.21.-	Peptidase S1 family	Hydrolases
Q8NFI3	3.2.1.96	Glycosyl hydrolase 85 family	Hydrolases
Q8NHM4	3.4.21.4	Peptidase S1 family, Tryptase subfamily	Hydrolases
Q8TCD6	3.1.3.74	HAD-like hydrolase superfamily, PHOSPHO family	Hydrolases
Q8TDE3	3.1.27.-	Pancreatic ribonuclease family	Hydrolases
Q8TE96	3.6.4.12		Hydrolases
Q8TET4	3.2.1.20	Glycosyl hydrolase 31 family	Hydrolases
Q8WW27	3.5.4.-	Cytidine and deoxycytidylate deaminase family	Hydrolases
Q8WXQ8	3.4.17.-	Peptidase M14 family	Hydrolases
Q8WZ79	3.1.22.1	DNase II family	Hydrolases
Q92928	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
Q96FN9	3.1.1.96	DTD family	Hydrolases
Q96NU7	3.5.2.7	Metallo-dependent hydrolases superfamily, HutI family	Hydrolases
Q96S79	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q96SE0	3.1.1.-	AB hydrolase superfamily, AB hydrolase 4 family	Hydrolases
Q96SM3	3.4.17.-	Peptidase M14 family	Hydrolases
Q9BQ61	3.1.13.-		Hydrolases
Q9BQR3	3.4.21.-	Peptidase S1 family	Hydrolases
Q9BTV6	3.1.1.97	DPH7 family	Hydrolases
Q9C0D7	3.1.-.-	ZC3H12 family	Hydrolases
Q9H3G5	3.4.16.-	Peptidase S10 family	Hydrolases
Q9H3Z7	3.1.1.111	AB hydrolase superfamily, ABHD16 family	Hydrolases
Q9H4A4	3.4.11.6	Peptidase M1 family	Hydrolases
Q9H4I8	3.1.-.-	AB hydrolase superfamily	Hydrolases
Q9H853	3.6.5.-	Tubulin family	Hydrolases
Q9H857	3.1.3.-	5'(3')-deoxyribonucleotidase family	Hydrolases
Q9H9L3	3.1.-.-		Hydrolases
Q9HB40	3.4.16.-	Peptidase S10 family	Hydrolases
Q9HBA9	3.4.-.-	Peptidase M28 family, M28B subfamily	Hydrolases
Q9NPB8	3.1.4.2	Glycerophosphoryl diester phosphodiesterase family	Hydrolases
Q9NQE7	3.4.-.-	Peptidase S28 family	Hydrolases
Q9NYN1	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q9P2J9	3.1.3.43	PP2C family	Hydrolases
Q9QC07	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
Q9UKR3	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9UQG0	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
Q9Y305	3.1.2.-	Acyl coenzyme A hydrolase family	Hydrolases
Q9Y6I0	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
A0A1W2PQ27	3.1.3.16	SSU72 phosphatase family	Hydrolases
A0A1W2PQ64	3.1.3.16	SSU72 phosphatase family	Hydrolases
A0A1W2PQC6	3.1.3.16	SSU72 phosphatase family	Hydrolases
A0A1W2PQD8	3.1.3.16	SSU72 phosphatase family	Hydrolases
A0A1W2PQJ5	3.1.3.16	SSU72 phosphatase family	Hydrolases
A0A1W2PR75	3.1.3.16	SSU72 phosphatase family	Hydrolases
A1L453	3.4.21.-	Peptidase S1 family	Hydrolases
A6NEC2	3.4.11.-	Peptidase M1 family	Hydrolases
A6NIE9	3.4.21.-	Peptidase S1 family	Hydrolases
A6NIZ1	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
A8MPS7	3.5.1.-	YdjC deacetylase family	Hydrolases
A8MTI9	3.4.21.-	Peptidase S1 family	Hydrolases
A8MX76	3.4.22.-	Peptidase C2 family	Hydrolases
C9J2P7	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
C9JJH3	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
C9JLJ4	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
C9JPN9	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
C9JVI0	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
D6R901	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
D6R9N7	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
D6RA61	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
D6RBQ6	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
D6RCP7	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
D6RJB6	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
O15442	3.1.-.-	UPF0046 family	Hydrolases
P0C025	3.6.1.-	Nudix hydrolase family	Hydrolases
P0C7V7	3.4.21.89	Peptidase S26B family	Hydrolases
P63119	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63120	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63121	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63124	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63125	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63127	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
Q17R31	3.1.21.-	Metallo-dependent hydrolases superfamily, TatD-type hydrolase family	Hydrolases
Q17RR3	3.1.1.3	AB hydrolase superfamily, Lipase family	Hydrolases
Q2TAA2	3.1.-.-	'GDSL' lipolytic enzyme family, IAH1 subfamily	Hydrolases
Q400G9	3.4.-.-	Peptidase M54 family	Hydrolases
Q5FYA8	3.1.6.-	Sulfatase family	Hydrolases
Q5TFE4	3.1.3.-	5'(3')-deoxyribonucleotidase family	Hydrolases
Q5VSG8	3.2.1.-	Glycosyl hydrolase 99 family	Hydrolases
Q5VUY0	3.1.1.-	'GDXG' lipolytic enzyme family	Hydrolases
Q6GPI1	3.4.21.1	Peptidase S1 family	Hydrolases
Q6MZZ7	3.4.22.-	Peptidase C2 family	Hydrolases
Q6P093	3.1.1.-	'GDXG' lipolytic enzyme family	Hydrolases
Q6P1N9	3.1.21.-	Metallo-dependent hydrolases superfamily, TatD-type hydrolase family	Hydrolases
Q6PII5	3.1.2.-	Metallo-beta-lactamase superfamily, Glyoxalase II family	Hydrolases
Q6UWQ5	3.2.1.17	Glycosyl hydrolase 22 family	Hydrolases
Q6UWU2	3.2.1.-	Glycosyl hydrolase 35 family	Hydrolases
Q6ZNF0	3.1.3.2	Metallophosphoesterase superfamily, Purple acid phosphatase family	Hydrolases
Q6ZSI9	3.4.22.-	Peptidase C2 family	Hydrolases
Q6ZUV0	3.1.2.2		Hydrolases
Q7L211	3.-.-.-	Serine esterase family	Hydrolases
Q7RTY3	3.4.21.-	Peptidase S1 family	Hydrolases
Q7Z4W2	3.2.1.17	Glycosyl hydrolase 22 family	Hydrolases
Q86V88	3.1.3.-; 3.1.3.48	HAD-like hydrolase superfamily	Hydrolases
Q86W34	3.4.-.-	Peptidase M54 family	Hydrolases
Q86YN1	3.6.1.43	Dolichyldiphosphatase family	Hydrolases
Q8IUF1	3.6.5.-	SIMIBI class G3E GTPase family, ZNG1 subfamily	Hydrolases
Q8IUS5	3.3.-.-	AB hydrolase superfamily, Epoxide hydrolase family	Hydrolases
Q8IW92	3.2.1.-	Glycosyl hydrolase 35 family	Hydrolases
Q8IYP2	3.4.21.4	Peptidase S1 family	Hydrolases
Q8N1E2	3.2.1.-	Glycosyl hydrolase 23 family	Hydrolases
Q8NCI6	3.2.1.-	Glycosyl hydrolase 35 family	Hydrolases
Q8TAA1	3.1.27.-	Pancreatic ribonuclease family	Hydrolases
Q8WZ82	3.1.2.-	LovG family	Hydrolases
Q93075	3.1.21.-	Metallo-dependent hydrolases superfamily, TatD-type hydrolase family	Hydrolases
Q96I13	3.-.-.-	AB hydrolase superfamily	Hydrolases
Q96IC2	3.1.-.-		Hydrolases
Q96LU5	3.4.21.-	Peptidase S26 family, IMP1 subfamily	Hydrolases
Q96QH8	3.2.1.17	Glycosyl hydrolase 22 family	Hydrolases
Q9BPW5	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q9BUJ0	3.-.-.-	AB hydrolase superfamily, ABHD14 family	Hydrolases
Q9H628	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q9NQF3	3.1.-.-	AB hydrolase superfamily	Hydrolases
Q9UKQ9	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
A6NFU8	3.4.19.-	Peptidase C15 family	Hydrolases
E5RG02	3.4.21.-	Peptidase S1 family	Hydrolases
Q5VUY2	3.1.1.-	'GDXG' lipolytic enzyme family	Hydrolases
Q5W064	3.1.1.-	AB hydrolase superfamily, Lipase family	Hydrolases
A0AVI4	2.3.2.27	TMEM129 family	Transferases
A1L167	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
A1L3X0	2.3.1.199	ELO family, ELOVL7 subfamily	Transferases
A2RU49	2.7.1.81	Aminoglycoside phosphotransferase family	Transferases
A4D126	2.7.7.40	IspD/TarI cytidylyltransferase family, IspD subfamily	Transferases
A6NGU5	2.3.2.2; 3.4.19.13	Gamma-glutamyltransferase family	Transferases
A6NJ78	2.1.1.-	Methyltransferase superfamily, RsmH family	Transferases
A6NK58	2.3.1.181	LipB family	Transferases
A8MQ27	2.3.2.27		Transferases
A8MUP2	2.1.1.-	Methyltransferase superfamily	Transferases
O00116	2.5.1.26	FAD-binding oxidoreductase/transferase type 4 family	Transferases
O00141	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
O00142	2.7.1.-; 2.7.1.21; 2.7.1.74	DCK/DGK family	Transferases
O00204	2.8.2.2	Sulfotransferase 1 family	Transferases
O00219	2.4.1.212	NodC/HAS family	Transferases
O00237	2.3.2.27		Transferases
O00238	2.7.11.30	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Transferases
O00257	2.3.2.-		Transferases
O00308	2.3.2.26		Transferases
O00311	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily	Transferases
O00329	2.7.1.137; 2.7.1.153	PI3/PI4-kinase family	Transferases
O00338	2.8.2.1	Sulfotransferase 1 family	Transferases
O00370	2.7.7.49; 3.1.21.-		Transferases
O00411	2.7.7.6	Phage and mitochondrial RNA polymerase family	Transferases
O00418	2.7.11.20	Protein kinase superfamily, Alpha-type protein kinase family	Transferases
O00443	2.7.1.137; 2.7.1.153; 2.7.1.154	PI3/PI4-kinase family	Transferases
O00444	2.7.11.21	Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily	Transferases
O00506	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
O00587	2.4.1.222	Glycosyltransferase 31 family	Transferases
O00635	2.3.2.27		Transferases
O00746	2.7.4.6	NDK family	Transferases
O00750	2.7.1.137; 2.7.1.154	PI3/PI4-kinase family	Transferases
O00762	2.3.2.23; 2.3.2.24	Ubiquitin-conjugating enzyme family	Transferases
O00764	2.7.1.35	Pyridoxine kinase family	Transferases
O14578	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
O14684	1.11.1.-; 2.5.1.18; 5.3.99.3	MAPEG family	Transferases
O14686	2.1.1.364	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, TRX/MLL subfamily	Transferases
O14717	2.1.1.204	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family	Transferases
O14730	2.7.11.1	Protein kinase superfamily, RIO-type Ser/Thr kinase family	Transferases
O14733	2.7.12.2	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	Transferases
O14735	2.7.8.11	CDP-alcohol phosphatidyltransferase class-I family	Transferases
O14744	2.1.1.320	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family	Transferases
O14746	2.7.7.49	Reverse transcriptase family, Telomerase subfamily	Transferases
O14757	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NIM1 subfamily	Transferases
O14772	2.7.7.30		Transferases
O14792	2.8.2.23	Sulfotransferase 1 family	Transferases
O14802	2.7.7.6	RNA polymerase beta' chain family	Transferases
O14874	2.7.11.1; 2.7.11.4	PDK/BCKDK protein kinase family	Transferases
O14880	1.11.1.-; 2.5.1.-; 4.4.1.20	MAPEG family	Transferases
O14920	2.7.11.1; 2.7.11.10	Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily	Transferases
O14929	2.3.1.48	HAT1 family	Transferases
O14933	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
O14936	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily; MAGUK family	Transferases
O14965	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily	Transferases
O14976	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
O14986	2.7.1.68		Transferases
O15021	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
O15033	2.3.2.26		Transferases
O15047	2.1.1.364	Class V-like SAM-binding methyltransferase superfamily	Transferases
O15075	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
O15111	2.7.11.10	Protein kinase superfamily, Ser/Thr protein kinase family, I-kappa-B kinase subfamily	Transferases
O15120	2.3.1.51	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
O15146	2.7.10.1	Protein kinase superfamily, Tyr protein kinase family	Transferases
O15164	2.3.2.27		Transferases
O15217	2.5.1.18	GST superfamily, Alpha family	Transferases
O15228	2.3.1.42	GPAT/DAPAT family	Transferases
O15264	2.7.11.24	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Transferases
O15269	2.3.1.50	Class-II pyridoxal-phosphate-dependent aminotransferase family	Transferases
O15270	2.3.1.50	Class-II pyridoxal-phosphate-dependent aminotransferase family	Transferases
O15294	2.4.1.255	Glycosyltransferase 41 family, O-GlcNAc transferase subfamily	Transferases
O15344	2.3.2.27	TRIM/RBCC family	Transferases
O15382	2.6.1.42	Class-IV pyridoxal-phosphate-dependent aminotransferase family	Transferases
O15466	2.4.99.-	Glycosyltransferase 29 family	Transferases
O15488	2.4.1.186	Glycosyltransferase 8 family, Glycogenin subfamily	Transferases
O15498	2.3.1.-	Synaptobrevin family	Transferases
O15516	2.3.1.48		Transferases
O15530	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily	Transferases
O15541	2.3.2.27		Transferases
O43148	2.1.1.56	Class I-like SAM-binding methyltransferase superfamily, mRNA cap 0 methyltransferase family	Transferases
O43159	2.1.1.-	Methyltransferase superfamily, RRP8 family	Transferases
O43164	2.3.2.27		Transferases
O43173	2.4.3.-; 2.4.3.8	Glycosyltransferase 29 family	Transferases
O43252	2.7.1.25; 2.7.7.4	APS kinase family; Sulfate adenylyltransferase family	Transferases
O43255	2.3.2.27	SINA (Seven in absentia) family	Transferases
O43283	2.7.11.25	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
O43286	2.4.1.-; 2.4.1.274	Glycosyltransferase 7 family	Transferases
O43293	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	Transferases
O43314	2.7.4.24	Histidine acid phosphatase family, VIP1 subfamily	Transferases
O43318	2.7.11.25	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
O43353	2.7.10.2; 2.7.11.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
O43463	2.1.1.355	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar3-9 subfamily	Transferases
O43505	2.4.1.-	Glycosyltransferase 49 family	Transferases
O43529	2.8.2.-	Sulfotransferase 2 family	Transferases
O43548	2.3.2.13	Transglutaminase superfamily, Transglutaminase family	Transferases
O43567	2.3.2.27		Transferases
O43683	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily	Transferases
O43704	2.8.2.1	Sulfotransferase 1 family	Transferases
O43708	2.5.1.18; 5.2.1.2	GST superfamily, Zeta family	Transferases
O43709	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, BUD23/WBSCR22 family	Transferases
O43734	2.3.2.27		Transferases
O43766	2.8.1.8	Radical SAM superfamily, Lipoyl synthase family	Transferases
O43781	2.7.12.1	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily	Transferases
O43813	2.5.1.18	LanC-like protein family	Transferases
O43825	2.4.1.86	Glycosyltransferase 31 family	Transferases
O43909	2.4.1.223	Glycosyltransferase 47 family	Transferases
O43916	2.8.2.21	Sulfotransferase 1 family, Gal/GlcNAc/GalNAc subfamily	Transferases
O43930	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily	Transferases
O60229	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
O60243	2.8.2.-	Sulfotransferase 6 family	Transferases
O60260	2.3.2.31	RBR family, Parkin subfamily	Transferases
O60285	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Transferases
O60291	2.3.2.27		Transferases
O60294	2.1.1.290; 2.3.1.231	Methyltransferase superfamily, LCMT family	Transferases
O60307	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
O60318	2.3.1.-; 2.3.1.48	SAC3 family	Transferases
O60331	2.7.1.68		Transferases
O60337	2.3.2.27		Transferases
O60507	2.8.2.20	Protein sulfotransferase family	Transferases
O60512	2.4.1.-; 2.4.1.275; 2.4.1.38; 2.4.1.90	Glycosyltransferase 7 family	Transferases
O60513	2.4.1.-; 2.4.1.275; 2.4.1.90	Glycosyltransferase 7 family	Transferases
O60551	2.3.1.-; 2.3.1.97	NMT family	Transferases
O60566	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, BUB1 subfamily	Transferases
O60568	1.14.11.4; 2.4.1.50; 2.4.1.66		Transferases
O60656	2.4.1.17	UDP-glycosyltransferase family	Transferases
O60673	2.7.7.7	DNA polymerase type-B family	Transferases
O60674	2.7.10.2	Protein kinase superfamily, Tyr protein kinase family, JAK subfamily	Transferases
O60678	2.1.1.319	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family	Transferases
O60683	2.3.2.27	Pex2/pex10/pex12 family	Transferases
O60704	2.8.2.20	Protein sulfotransferase family	Transferases
O60725	2.1.1.100	Class VI-like SAM-binding methyltransferase superfamily, Isoprenylcysteine carboxyl methyltransferase family	Transferases
O60760	2.5.1.18; 5.3.99.2	GST superfamily, Sigma family	Transferases
O60762	2.4.1.83	Glycosyltransferase 2 family	Transferases
O60825	2.7.1.105; 3.1.3.46	Phosphoglycerate mutase family	Transferases
O60858	2.3.2.27	TRIM/RBCC family	Transferases
O60909	2.4.1.-; 2.4.1.22; 2.4.1.38; 2.4.1.90	Glycosyltransferase 7 family	Transferases
O60927	2.3.2.27		Transferases
O60942	2.7.7.50; 3.6.1.74	Non-receptor class of the protein-tyrosine phosphatase family; Eukaryotic GTase family	Transferases
O75063	2.7.1.-	FAM20 family	Transferases
O75072	2.7.8.-	LicD transferase family	Transferases
O75116	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
O75150	2.3.2.27	BRE1 family	Transferases
O75191	2.7.1.17	FGGY kinase family	Transferases
O75382	2.3.2.27	TRIM/RBCC family	Transferases
O75385	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily	Transferases
O75390	2.3.3.1	Citrate synthase family	Transferases
O75414	2.7.4.6	NDK family	Transferases
O75417	2.7.7.49; 2.7.7.7; 3.6.4.12	DNA polymerase type-A family	Transferases
O75460	2.7.11.1; 3.1.26.-	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
O75503	2.3.1.-; 3.1.2.22	CLN5 family	Transferases
O75582	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	Transferases
O75592	2.3.2.33	RING-Cys relay (RCR) family	Transferases
O75600	2.3.1.29	Class-II pyridoxal-phosphate-dependent aminotransferase family	Transferases
O75626	2.1.1.-	Class V-like SAM-binding methyltransferase superfamily	Transferases
O75648	2.8.1.14	MnmA/TRMU family	Transferases
O75676	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	Transferases
O75716	2.7.10.2; 2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
O75747	2.7.1.137; 2.7.1.154	PI3/PI4-kinase family	Transferases
O75752	2.4.1.79	Glycosyltransferase 31 family	Transferases
O75795	2.4.1.17	UDP-glycosyltransferase family	Transferases
O75897	2.8.2.1	Sulfotransferase 1 family	Transferases
O75907	2.3.1.20; 2.3.1.76	Membrane-bound acyltransferase family, Sterol o-acyltransferase subfamily	Transferases
O75908	2.3.1.26	Membrane-bound acyltransferase family, Sterol o-acyltransferase subfamily	Transferases
O75912	2.7.1.107	Eukaryotic diacylglycerol kinase family	Transferases
O75914	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
O75925	2.3.2.-	PIAS family	Transferases
O75928	2.3.2.-	PIAS family	Transferases
O75962	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
O76039	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
O76050	2.3.2.27		Transferases
O76064	2.3.2.27	RNF8 family	Transferases
O94766	2.4.1.135	Glycosyltransferase 43 family	Transferases
O94768	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	Transferases
O94804	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
O94806	2.7.11.13	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily	Transferases
O94808	2.6.1.16		Transferases
O94822	2.3.2.27	LTN1 family	Transferases
O94874	2.3.2.-	UFL1 family	Transferases
O94921	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
O94941	2.3.2.27		Transferases
O94972	2.3.2.27	TRIM/RBCC family	Transferases
O95045	2.4.2.3	PNP/UDP phosphorylase family	Transferases
O95050	2.1.1.49; 2.1.1.96	Class I-like SAM-binding methyltransferase superfamily, NNMT/PNMT/TEMT family	Transferases
O95071	2.3.2.26	UBR5 family	Transferases
O95155	2.3.2.27	Ubiquitin conjugation factor E4 family	Transferases
O95237	2.3.1.135	H-rev107 family	Transferases
O95251	2.3.1.48	MYST (SAS/MOZ) family	Transferases
O95260	2.3.2.8	R-transferase family	Transferases
O95271	2.4.2.-; 2.4.2.30	ARTD/PARP family	Transferases
O95340	2.7.1.25; 2.7.7.4	APS kinase family; Sulfate adenylyltransferase family	Transferases
O95361	2.3.2.27	TRIM/RBCC family	Transferases
O95376	2.3.2.31	RBR family, Ariadne subfamily	Transferases
O95382	2.7.11.25	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	Transferases
O95395	2.4.1.102; 2.4.1.148; 2.4.1.150	Glycosyltransferase 14 family	Transferases
O95396	2.7.7.80; 2.8.1.11	HesA/MoeB/ThiF family, UBA4 subfamily	Transferases
